,CustomerId,CreditScore,Geography,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup
0,15634602,4,1,1,2,1,1,1,1,6,1,6
1,15647311,4,2,1,1,5,1,0,1,6,0,6
2,15619304,1,1,1,8,10,3,1,0,6,1,6
3,15701354,7,1,1,1,1,2,0,0,5,0,6
4,15737888,10,2,1,2,8,1,1,1,4,0,6
5,15574012,5,2,0,8,7,2,1,0,8,1,6
6,15592531,10,1,0,7,1,2,1,1,1,0,6
7,15656148,1,3,1,4,7,4,1,0,6,1,5
8,15792365,1,1,0,4,9,2,0,1,4,0,6
9,15592389,7,1,0,2,9,1,1,1,4,0,5
10,15767821,2,1,0,6,6,2,0,0,4,0,5
11,15737173,1,2,0,3,1,2,1,0,4,0,4
12,15632264,1,1,1,10,1,2,1,0,2,0,5
13,15691483,2,1,1,5,1,2,0,0,10,0,5
14,15600882,5,2,1,7,1,2,1,1,4,0,5
15,15643966,4,3,0,3,9,2,0,1,4,0,6
16,15737452,6,3,0,1,8,1,1,0,1,1,6
17,15788218,2,2,1,9,1,2,1,1,1,0,4
18,15661507,3,2,0,6,1,1,0,0,8,0,6
19,15568982,8,1,1,6,1,2,1,1,3,0,4
20,15577657,8,1,0,8,1,2,1,1,9,0,6
21,15597945,5,2,1,8,1,2,1,0,7,0,5
22,15699309,1,2,1,4,1,1,1,0,6,1,6
23,15725737,6,1,0,3,1,2,0,1,1,0,6
24,15625047,10,1,1,5,1,1,1,1,10,0,6
25,15738191,3,1,0,3,1,2,0,1,7,0,5
26,15736816,9,3,0,2,9,1,1,1,9,0,6
27,15700772,3,1,0,9,1,2,0,0,2,0,6
28,15728693,3,3,1,3,9,1,1,1,5,0,6
29,15656300,1,1,0,0,4,2,1,1,3,0,5
30,15589475,3,2,1,3,1,3,1,0,8,1,6
31,15706552,2,1,0,7,5,1,0,1,8,0,6
32,15750181,2,3,0,9,6,2,0,0,5,0,6
33,15659428,1,2,1,6,1,2,1,1,2,0,6
34,15732963,8,2,1,9,1,2,1,1,8,0,5
35,15794171,1,1,1,0,9,1,1,0,2,1,6
36,15788448,1,2,0,3,9,1,0,1,6,0,5
37,15729599,10,2,0,7,5,1,0,1,5,0,5
38,15717426,10,1,0,7,1,1,1,1,2,0,6
39,15585768,3,3,0,6,4,2,0,1,9,0,6
40,15619360,1,2,0,4,1,1,1,0,4,0,6
41,15738148,1,1,1,8,8,1,0,0,10,1,6
42,15687946,2,1,1,2,7,1,1,1,5,0,7
43,15755196,10,1,1,2,8,1,0,0,10,1,6
44,15684171,6,2,1,5,10,1,1,1,8,0,7
45,15754849,9,3,1,4,6,2,1,1,7,0,5
46,15602280,10,3,1,9,7,1,1,1,6,1,5
47,15771573,5,3,1,9,9,1,1,1,6,1,6
48,15766205,2,3,0,2,6,1,0,1,5,0,6
49,15771873,9,3,1,2,6,2,1,0,10,0,6
50,15616550,7,3,0,10,7,2,1,0,10,0,6
51,15768193,3,3,0,5,9,2,0,0,5,0,6
52,15683553,10,1,1,5,1,2,0,0,6,0,5
53,15702298,6,3,0,8,8,1,0,0,9,1,6
54,15569590,4,3,0,1,6,1,1,0,2,1,6
55,15760861,4,1,0,1,8,1,1,1,6,0,6
56,15630053,6,1,0,5,8,1,1,0,5,0,6
57,15647091,8,3,0,0,5,1,0,0,3,0,4
58,15623944,1,2,1,4,1,1,1,0,1,1,7
59,15804771,4,1,0,4,4,1,1,1,3,0,6
60,15651280,9,3,0,5,9,1,0,0,5,0,5
61,15773469,7,3,1,9,10,2,0,0,7,0,5
62,15702014,2,2,0,1,4,2,0,0,9,0,5
63,15751208,7,2,0,8,5,1,1,1,5,0,6
64,15592461,4,3,0,4,6,1,1,1,5,0,5
65,15789484,9,3,1,6,10,2,1,1,2,0,6
66,15696061,3,3,1,1,6,1,1,0,6,0,5
67,15641582,8,3,0,10,8,2,1,1,10,0,6
68,15638424,6,3,1,5,10,2,0,1,6,0,5
69,15755648,6,1,1,8,6,1,1,0,1,0,4
70,15703793,9,3,0,2,9,4,1,0,2,1,6
71,15620344,10,1,0,6,1,1,1,0,2,0,5
72,15812518,6,2,1,0,10,1,0,1,3,0,6
73,15779052,4,3,1,5,10,2,1,1,3,0,5
74,15770811,1,1,0,9,1,2,0,1,8,0,6
75,15780961,8,1,1,1,10,2,1,0,2,0,4
76,15614049,6,1,0,8,1,2,1,1,7,0,6
77,15662085,6,1,1,9,1,1,1,1,8,0,5
78,15575185,9,2,0,5,5,1,0,1,10,0,5
79,15803136,1,3,1,10,8,2,1,0,5,0,6
80,15706021,6,1,1,1,5,2,0,0,9,0,5
81,15663706,9,1,1,2,1,1,1,0,7,1,5
82,15641732,2,1,1,3,1,2,0,0,2,0,6
83,15701164,1,1,1,4,5,1,1,1,8,0,5
84,15738751,1,1,1,4,1,2,1,0,1,0,6
85,15805254,5,2,1,10,1,2,1,1,6,0,7
86,15762418,9,2,0,3,7,1,1,0,7,1,4
87,15625759,8,1,0,9,1,2,1,0,8,0,5
88,15622897,5,1,1,4,1,3,1,0,5,1,6
89,15767954,5,3,1,3,5,2,1,1,8,0,5
90,15757535,5,2,1,5,1,3,1,1,9,1,6
91,15731511,10,1,0,7,7,2,1,0,8,0,6
92,15809248,2,1,1,10,1,2,1,0,6,0,6
93,15640635,9,1,0,8,1,2,1,1,9,0,5
94,15676966,8,2,0,4,1,2,0,1,5,0,6
95,15699461,1,2,0,10,10,1,0,1,7,0,5
96,15738721,9,2,0,9,6,1,0,1,4,0,6
97,15693683,10,3,0,8,5,2,1,1,10,0,5
98,15604348,8,2,0,8,1,2,0,0,5,0,4
99,15633059,1,1,0,9,1,2,0,0,1,0,5
100,15808582,6,1,1,6,1,1,1,1,9,0,6
101,15743192,4,1,1,6,1,2,0,0,9,0,6
102,15580146,9,1,0,9,5,1,1,0,3,0,5
103,15776605,2,2,0,7,1,2,1,0,3,0,6
104,15804919,6,2,1,1,1,1,1,1,9,1,7
105,15613854,4,2,1,4,6,2,1,1,2,1,6
106,15599195,3,3,0,1,5,1,1,1,1,0,5
107,15812878,10,3,1,2,6,1,0,1,2,0,6
108,15602312,4,2,0,5,10,1,0,0,4,0,5
109,15744689,1,3,0,9,5,1,1,0,5,1,5
110,15803526,7,3,0,3,5,1,0,1,4,0,5
111,15665790,2,3,0,7,6,2,1,0,2,0,6
112,15715951,2,1,0,2,6,1,0,0,5,0,6
113,15591100,6,2,0,9,6,1,0,1,2,0,6
114,15609618,8,3,0,9,10,2,0,1,6,1,5
115,15675522,5,3,1,9,8,2,1,1,4,0,5
116,15705512,6,3,1,6,10,1,1,0,6,0,6
117,15698028,1,1,1,1,1,2,1,0,2,0,6
118,15661670,2,3,1,8,6,1,1,0,10,1,5
119,15600781,7,3,0,4,10,2,1,0,7,0,5
120,15682472,10,1,0,8,8,2,0,0,2,0,5
121,15580203,6,2,0,6,7,1,0,0,5,0,6
122,15690673,6,1,1,6,1,2,1,0,8,0,6
123,15760085,7,3,1,10,8,1,1,1,10,0,6
124,15779659,4,1,1,3,1,1,0,0,10,0,5
125,15627360,1,1,0,9,10,1,1,0,6,1,6
126,15671137,2,1,1,1,1,1,0,1,1,1,6
127,15782688,4,3,0,0,9,1,1,0,3,1,6
128,15575492,10,1,1,7,1,2,1,0,9,0,6
129,15591607,9,1,0,9,6,1,1,0,9,0,4
130,15740404,9,1,1,3,1,2,1,1,7,0,5
131,15718369,10,3,1,9,8,1,1,1,6,0,5
132,15677871,7,1,0,9,8,1,1,1,2,0,6
133,15642004,7,1,0,1,1,2,0,1,1,0,5
134,15712543,10,3,0,7,8,2,1,1,7,0,6
135,15584518,3,3,1,5,9,2,1,1,2,0,6
136,15802381,1,3,1,5,4,1,0,1,9,0,5
137,15610156,5,1,0,2,8,1,0,1,5,0,6
138,15594408,3,2,1,2,10,1,1,0,4,1,6
139,15640905,3,2,1,1,8,2,0,1,1,1,5
140,15698932,9,3,0,10,9,1,1,0,10,0,6
141,15724944,6,1,0,7,1,2,1,1,10,0,5
142,15628145,7,1,1,5,8,1,1,1,10,0,6
143,15713483,10,2,0,2,1,1,1,0,8,1,6
144,15612350,7,1,1,5,4,1,1,0,7,1,5
145,15800703,1,2,1,5,7,1,1,1,3,0,4
146,15705707,5,2,1,8,9,2,1,0,8,0,5
147,15754105,5,1,0,5,6,1,0,0,2,0,6
148,15703264,8,1,0,9,7,1,1,0,4,0,6
149,15794413,1,1,0,0,1,2,0,1,1,0,5
150,15650237,9,2,1,7,1,2,1,0,5,0,5
151,15759618,2,1,1,9,1,1,1,0,8,1,6
